,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
33,M2J,North York,"Fairview, Henry Farm, Oriole",43.7785175,-79.3465557,1.0,Clothing Store,Coffee Shop,Fast Food Restaurant,Japanese Restaurant,Bank,Women's Store,Restaurant,Bakery,Sporting Goods Shop,Deli / Bodega
34,M3J,North York,"Northwood Park, York University",43.7679803,-79.48726190000001,1.0,Caribbean Restaurant,Massage Studio,Coffee Shop,Bar,Yoga Studio,Donut Shop,Discount Store,Distribution Center,Dog Run,Doner Restaurant
35,M4J,East York,East Toronto,43.685347,-79.3381065,2.0,Park,Coffee Shop,Convenience Store,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Eastern European Restaurant
36,M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.6408157,-79.38175229999999,1.0,Coffee Shop,Aquarium,Café,Hotel,Fried Chicken Joint,Sporting Goods Shop,Scenic Lookout,Italian Restaurant,Restaurant,Brewery
37,M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497,1.0,Bar,Asian Restaurant,Restaurant,Vegetarian / Vegan Restaurant,Men's Store,Café,Yoga Studio,Dog Run,Beer Store,Japanese Restaurant
38,M1K,Scarborough,"Kennedy Park, Ionview, East Birchmount Park",43.7279292,-79.26202940000002,1.0,Department Store,Bus Station,Discount Store,Convenience Store,Coffee Shop,Hobby Shop,Donut Shop,Distribution Center,Dog Run,Doner Restaurant
39,M2K,North York,Bayview Village,43.7869473,-79.385975,1.0,Café,Bank,Chinese Restaurant,Japanese Restaurant,Dim Sum Restaurant,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
40,M3K,North York,Downsview,43.737473200000004,-79.46476329999999,1.0,Grocery Store,Park,Home Service,Bus Stop,Liquor Store,Shopping Mall,Korean Restaurant,Food Truck,Baseball Field,Bank
41,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,1.0,Greek Restaurant,Italian Restaurant,Coffee Shop,Ice Cream Shop,Furniture / Home Store,Restaurant,Pub,Liquor Store,Indian Restaurant,Caribbean Restaurant
42,M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6471768,-79.38157640000001,1.0,Coffee Shop,Café,Hotel,Restaurant,Salad Place,Japanese Restaurant,Italian Restaurant,Seafood Restaurant,American Restaurant,Tea Room
43,M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002,1.0,Café,Breakfast Spot,Coffee Shop,Burrito Place,Restaurant,Italian Restaurant,Stadium,Intersection,Bar,Climbing Gym
44,M1L,Scarborough,"Golden Mile, Clairlea, Oakridge",43.711111700000004,-79.2845772,1.0,Bus Line,Bakery,Soccer Field,Ice Cream Shop,Bus Station,Metro Station,Intersection,Park,General Entertainment,Dessert Shop
45,M2L,North York,"York Mills, Silver Hills",43.7574902,-79.37471409999999,,,,,,,,,,,
46,M3L,North York,Downsview,43.7390146,-79.5069436,1.0,Grocery Store,Park,Home Service,Bus Stop,Liquor Store,Shopping Mall,Korean Restaurant,Food Truck,Baseball Field,Bank
47,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.31557159999998,1.0,Sandwich Place,Park,Fast Food Restaurant,Brewery,Ice Cream Shop,Steakhouse,Fish & Chips Shop,Intersection,Italian Restaurant,Liquor Store
48,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6481985,-79.37981690000001,1.0,Coffee Shop,Restaurant,Café,Hotel,Gym,American Restaurant,Japanese Restaurant,Italian Restaurant,Deli / Bodega,Seafood Restaurant
49,M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738,1.0,Park,Basketball Court,Bakery,Construction & Landscaping,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Drugstore
50,M9L,North York,Humber Summit,43.7563033,-79.56596329999999,0.0,Pizza Place,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
51,M1M,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West",43.716316,-79.23947609999999,1.0,American Restaurant,Motel,Dessert Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio
52,M2M,North York,"Willowdale, Newtonbrook",43.789053,-79.40849279999999,1.0,Home Service,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore,Dessert Shop
53,M3M,North York,Downsview,43.7284964,-79.49569740000001,1.0,Grocery Store,Park,Home Service,Bus Stop,Liquor Store,Shopping Mall,Korean Restaurant,Food Truck,Baseball Field,Bank
54,M4M,East Toronto,Studio District,43.6595255,-79.340923,1.0,Café,Coffee Shop,Bakery,Gastropub,Brewery,American Restaurant,Yoga Studio,Comfort Food Restaurant,Seafood Restaurant,Sandwich Place
55,M5M,North York,"Bedford Park, Lawrence Manor East",43.7332825,-79.4197497,1.0,Sandwich Place,Coffee Shop,Italian Restaurant,Pizza Place,Pharmacy,Café,Pub,Sushi Restaurant,Liquor Store,Restaurant
56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999,1.0,Restaurant,Coffee Shop,Skating Rink,Sandwich Place,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Donut Shop
57,M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002,4.0,Food Service,Baseball Field,Yoga Studio,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Fast Food Restaurant
58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.692657000000004,-79.2648481,1.0,Café,General Entertainment,Skating Rink,College Stadium,Concert Hall,Dim Sum Restaurant,Falafel Restaurant,Event Space,Ethiopian Restaurant,Comfort Food Restaurant
59,M2N,North York,Willowdale,43.7701199,-79.40849279999999,1.0,Ramen Restaurant,Pizza Place,Coffee Shop,Sandwich Place,Restaurant,Café,Sushi Restaurant,Fast Food Restaurant,Bubble Tea Shop,Steakhouse
60,M3N,North York,Downsview,43.7616313,-79.52099940000001,1.0,Grocery Store,Park,Home Service,Bus Stop,Liquor Store,Shopping Mall,Korean Restaurant,Food Truck,Baseball Field,Bank
61,M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,2.0,Park,Bus Line,Swim School,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Doner Restaurant,Farmers Market
62,M5N,Central Toronto,Roselawn,43.7116948,-79.41693559999999,3.0,Garden,Yoga Studio,Doner Restaurant,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop,Department Store
63,M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001,0.0,Grocery Store,Pizza Place,Bus Line,Brewery,Yoga Studio,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run
64,M9N,York,Weston,43.706876,-79.51818840000001,2.0,Park,Convenience Store,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Eastern European Restaurant
65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.7574096,-79.27330400000001,1.0,Indian Restaurant,Pet Store,Vietnamese Restaurant,Chinese Restaurant,Thrift / Vintage Store,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
66,M2P,North York,York Mills West,43.752758299999996,-79.4000493,2.0,Park,Bank,Convenience Store,Drugstore,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant
67,M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,1.0,Department Store,Food & Drink Shop,Gym,Park,Dance Studio,Breakfast Spot,Hotel,Sandwich Place,Discount Store,Distribution Center
68,M5P,Central Toronto,Forest Hill North & West,43.6969476,-79.41130720000001,1.0,Trail,Park,Sushi Restaurant,Jewelry Store,Yoga Studio,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant
69,M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999,1.0,Mexican Restaurant,Café,Thai Restaurant,Cajun / Creole Restaurant,Bar,Bakery,Diner,Fried Chicken Joint,Italian Restaurant,Furniture / Home Store
70,M9P,Etobicoke,Westmount,43.696319,-79.53224240000002,0.0,Pizza Place,Intersection,Discount Store,Coffee Shop,Sandwich Place,Chinese Restaurant,Yoga Studio,Dog Run,Diner,Distribution Center
71,M1R,Scarborough,"Wexford, Maryvale",43.750071500000004,-79.2958491,1.0,Smoke Shop,Middle Eastern Restaurant,Bakery,Breakfast Spot,Yoga Studio,Doner Restaurant,Discount Store,Distribution Center,Dog Run,Drugstore
72,M2R,North York,Willowdale,43.7827364,-79.4422593,1.0,Ramen Restaurant,Pizza Place,Coffee Shop,Sandwich Place,Restaurant,Café,Sushi Restaurant,Fast Food Restaurant,Bubble Tea Shop,Steakhouse
73,M4R,Central Toronto,North Toronto West,43.7153834,-79.40567840000001,1.0,Clothing Store,Sporting Goods Shop,Coffee Shop,Yoga Studio,Gym / Fitness Center,Fast Food Restaurant,Diner,Dessert Shop,Mexican Restaurant,Chinese Restaurant
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,1.0,Sandwich Place,Café,Coffee Shop,Park,Pizza Place,Donut Shop,Burger Joint,Indian Restaurant,Pub,Middle Eastern Restaurant
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,1.0,Breakfast Spot,Gift Shop,Dessert Shop,Movie Theater,Restaurant,Bookstore,Bar,Eastern European Restaurant,Coffee Shop,Italian Restaurant
76,M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999,1.0,Hotel,Coffee Shop,Gym,Middle Eastern Restaurant,Intersection,Mediterranean Restaurant,American Restaurant,Fried Chicken Joint,Sandwich Place,Burrito Place
77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001,0.0,Mobile Phone Shop,Bus Line,Pizza Place,Sandwich Place,Dog Run,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Yoga Studio
78,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,1.0,Lounge,Latin American Restaurant,Skating Rink,Breakfast Spot,Clothing Store,Drugstore,Discount Store,Distribution Center,Dog Run,Doner Restaurant
79,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,1.0,Sandwich Place,Dessert Shop,Coffee Shop,Italian Restaurant,Café,Pizza Place,Sushi Restaurant,Gym,Bar,Brewery
80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,1.0,Café,Bakery,Italian Restaurant,Japanese Restaurant,Bar,Bookstore,Restaurant,Bank,Beer Bar,Beer Store
81,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,1.0,Coffee Shop,Café,Pub,Pizza Place,Italian Restaurant,Sushi Restaurant,Bar,Diner,Food,Indie Movie Theater
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,1.0,Pharmacy,Pizza Place,Fast Food Restaurant,Convenience Store,Italian Restaurant,Bank,Chinese Restaurant,Thai Restaurant,Gas Station,Fried Chicken Joint
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001,2.0,Park,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493,1.0,Café,Bakery,Vietnamese Restaurant,Mexican Restaurant,Coffee Shop,Bar,Vegetarian / Vegan Restaurant,Dessert Shop,Gaming Cafe,Cheese Shop
85,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",43.8152522,-79.2845772,2.0,Park,Playground,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.68641229999999,-79.4000493,1.0,Coffee Shop,Pub,Bagel Shop,Pizza Place,Liquor Store,Restaurant,Sports Bar,Bank,Supermarket,Sushi Restaurant
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199,1.0,Airport Terminal,Airport Lounge,Airport Service,Boat or Ferry,Coffee Shop,Rental Car Location,Bar,Boutique,Harbor / Marina,Airport Gate
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001,1.0,Gym,Hobby Shop,Pharmacy,Pizza Place,Restaurant,Café,Liquor Store,Bakery,Fried Chicken Joint,Fast Food Restaurant
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369,1.0,Grocery Store,Liquor Store,Sandwich Place,Fast Food Restaurant,Beer Store,Fried Chicken Joint,Pharmacy,Pizza Place,Comic Shop,Concert Hall
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",43.799525200000005,-79.3183887,1.0,Fast Food Restaurant,Chinese Restaurant,Electronics Store,Coffee Shop,Sandwich Place,Furniture / Home Store,Thrift / Vintage Store,Bank,Cosmetics Shop,Pizza Place
91,M4W,Downtown Toronto,Rosedale,43.6795626,-79.37752940000001,2.0,Park,Trail,Playground,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Donut Shop
92,M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999,1.0,Coffee Shop,Seafood Restaurant,Café,Italian Restaurant,Restaurant,Beer Bar,Cocktail Bar,Japanese Restaurant,Lounge,Pub
93,M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999,0.0,Pizza Place,Coffee Shop,Pool,Gym,Skating Rink,Pharmacy,Pub,Sandwich Place,Dessert Shop,Dim Sum Restaurant
94,M9W,Etobicoke,Northwest,43.706748299999994,-79.5940544,1.0,Rental Car Location,Bar,Drugstore,Yoga Studio,Doner Restaurant,Diner,Discount Store,Distribution Center,Dog Run,Donut Shop
95,M1X,Scarborough,Upper Rouge,43.836124700000006,-79.20563609999999,,,,,,,,,,,
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.667967,-79.3676753,1.0,Coffee Shop,Italian Restaurant,Chinese Restaurant,Pub,Café,Bakery,Pizza Place,Restaurant,Japanese Restaurant,Jewelry Store
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802,1.0,Coffee Shop,Café,Hotel,Restaurant,Gym,Japanese Restaurant,Seafood Restaurant,Salad Place,Steakhouse,Deli / Bodega
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436,2.0,River,Smoke Shop,Park,Dog Run,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Distribution Center,Donut Shop
99,M4Y,Downtown Toronto,Church and Wellesley,43.6658599,-79.38315990000001,1.0,Sushi Restaurant,Coffee Shop,Japanese Restaurant,Restaurant,Pub,Café,Yoga Studio,Hotel,Gay Bar,Gastropub
100,M7Y,East Toronto,Business reply mail Processing Centre,43.6627439,-79.321558,1.0,Light Rail Station,Yoga Studio,Auto Workshop,Gym / Fitness Center,Garden Center,Fast Food Restaurant,Farmers Market,Comic Shop,Pizza Place,Recording Studio
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999,4.0,Baseball Field,Yoga Studio,Donut Shop,Diner,Discount Store,Distribution Center,Dog Run,Doner Restaurant,Drugstore,Field
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001,1.0,Grocery Store,Bakery,Social Club,Sandwich Place,Burger Joint,Burrito Place,Discount Store,Supplement Shop,Fast Food Restaurant,Wings Joint
